Name,Department,empid,Salary,Address
All industries,Level 1,99999,"728,239",Namakkal
All industries,Level 1,99999,"643,809",Kovai
All industries,Level 1,99999,"62,924",Gandhipuram
All industries,Level 1,99999,"21,505",Erode
All industries,Level 1,99999,"634,710",Namakkal
All industries,Level 1,99999,"35,250",Kovai
All industries,Level 1,99999,"7,458",Gandhipuram
All industries,Level 1,99999,"20,977",Erode
All industries,Level 1,99999,"112,960",Namakkal
All industries,Level 1,99999,206,Kovai
All industries,Level 1,99999,"1,767",Gandhipuram
All industries,Level 1,99999,"445,481",Erode
All industries,Level 1,99999,"10,817",Namakkal
All industries,Level 1,99999,"63,932",Kovai
All industries,Level 1,99999,"67,518",Gandhipuram
All industries,Level 1,99999,"97,114",Erode
All industries,Level 1,99999,"2,216,127",Namakkal
All industries,Level 1,99999,"612,930",Kovai
All industries,Level 1,99999,"535,710",Gandhipuram
All industries,Level 1,99999,"1,067,488",Erode
All industries,Level 1,99999,"2,216,127",Namakkal
All industries,Level 1,99999,"736,065",Kovai
All industries,Level 1,99999,"805,521",Gandhipuram
All industries,Level 1,99999,"674,542",Erode
All industries,Level 1,99999,"384,900",Namakkal
All industries,Level 1,99999,"51,300",Kovai
All industries,Level 1,99999,76,Gandhipuram
All industries,Level 1,99999,68,Erode
All industries,Level 1,99999,13,Namakkal
All industries,Level 1,99999,4,Kovai
All industries,Level 1,99999,33,Gandhipuram
"Agriculture, Forestry and Fishing",Level 1,AA,"45,620",Erode
"Agriculture, Forestry and Fishing",Level 1,AA,"43,216",Namakkal
"Agriculture, Forestry and Fishing",Level 1,AA,485,Kovai
"Agriculture, Forestry and Fishing",Level 1,AA,14,Gandhipuram
"Agriculture, Forestry and Fishing",Level 1,AA,"1,905",Erode
"Agriculture, Forestry and Fishing",Level 1,AA,"39,327",Namakkal
"Agriculture, Forestry and Fishing",Level 1,AA,"2,928",Kovai
"Agriculture, Forestry and Fishing",Level 1,AA,475,Gandhipuram
"Agriculture, Forestry and Fishing",Level 1,AA,"2,080",Erode
"Agriculture, Forestry and Fishing",Level 1,AA,"5,574",Namakkal
"Agriculture, Forestry and Fishing",Level 1,AA,0,Kovai
"Agriculture, Forestry and Fishing",Level 1,AA,"27,696",Gandhipuram
"Agriculture, Forestry and Fishing",Level 1,AA,573,Erode
"Agriculture, Forestry and Fishing",Level 1,AA,"14,659",Namakkal
"Agriculture, Forestry and Fishing",Level 1,AA,"14,857",Kovai
"Agriculture, Forestry and Fishing",Level 1,AA,"6,491",Gandhipuram
"Agriculture, Forestry and Fishing",Level 1,AA,"179,023",Erode
"Agriculture, Forestry and Fishing",Level 1,AA,"34,692",Namakkal
"Agriculture, Forestry and Fishing",Level 1,AA,"103,077",Kovai
"Agriculture, Forestry and Fishing",Level 1,AA,"41,254",Gandhipuram
"Agriculture, Forestry and Fishing",Level 1,AA,"179,023",Erode
"Agriculture, Forestry and Fishing",Level 1,AA,"83,094",Namakkal
"Agriculture, Forestry and Fishing",Level 1,AA,"31,413",Kovai
"Agriculture, Forestry and Fishing",Level 1,AA,"64,516",Gandhipuram
"Agriculture, Forestry and Fishing",Level 1,AA,"389,700",Erode
"Agriculture, Forestry and Fishing",Level 1,AA,"55,400",Namakkal
"Agriculture, Forestry and Fishing",Level 1,AA,110,Kovai
"Agriculture, Forestry and Fishing",Level 1,AA,63,Gandhipuram
"Agriculture, Forestry and Fishing",Level 1,AA,8,Erode
"Agriculture, Forestry and Fishing",Level 1,AA,4,Namakkal
"Agriculture, Forestry and Fishing",Level 1,AA,46,Kovai
Horticulture and Fruit Growing,Level 3,AA11,"4,788",Gandhipuram
Horticulture and Fruit Growing,Level 3,AA11,"4,471",Erode
Horticulture and Fruit Growing,Level 3,AA11,132,Namakkal
Horticulture and Fruit Growing,Level 3,AA11,185,Kovai
Horticulture and Fruit Growing,Level 3,AA11,"3,981",Gandhipuram
Horticulture and Fruit Growing,Level 3,AA11,202,Erode
Horticulture and Fruit Growing,Level 3,AA11,36,Namakkal
Horticulture and Fruit Growing,Level 3,AA11,231,Kovai
Horticulture and Fruit Growing,Level 3,AA11,820,Gandhipuram
Horticulture and Fruit Growing,Level 3,AA11,0,Erode
Horticulture and Fruit Growing,Level 3,AA11,"2,673",Namakkal
Horticulture and Fruit Growing,Level 3,AA11,19,Kovai
Horticulture and Fruit Growing,Level 3,AA11,339,Gandhipuram
Horticulture and Fruit Growing,Level 3,AA11,363,Erode
Horticulture and Fruit Growing,Level 3,AA11,832,Namakkal
Horticulture and Fruit Growing,Level 3,AA11,"14,972",Kovai
Horticulture and Fruit Growing,Level 3,AA11,"2,671",Gandhipuram
Horticulture and Fruit Growing,Level 3,AA11,"9,750",Erode
Horticulture and Fruit Growing,Level 3,AA11,"2,551",Namakkal
Horticulture and Fruit Growing,Level 3,AA11,"14,972",Kovai
Horticulture and Fruit Growing,Level 3,AA11,"6,967",Gandhipuram
Horticulture and Fruit Growing,Level 3,AA11,"3,500",Erode
Horticulture and Fruit Growing,Level 3,AA11,"4,505",Namakkal
Horticulture and Fruit Growing,Level 3,AA11,"185,800",Kovai
Horticulture and Fruit Growing,Level 3,AA11,"32,300",Gandhipuram
Horticulture and Fruit Growing,Level 3,AA11,76,Erode
Horticulture and Fruit Growing,Level 3,AA11,66,Namakkal
Horticulture and Fruit Growing,Level 3,AA11,12,Kovai
Horticulture and Fruit Growing,Level 3,AA11,6,Gandhipuram
Horticulture and Fruit Growing,Level 3,AA11,47,Erode
Horticulture and Fruit Growing,Level 4,AA111,"4,788",Namakkal
Horticulture and Fruit Growing,Level 4,AA111,"4,471",Kovai
Horticulture and Fruit Growing,Level 4,AA111,132,Gandhipuram
Horticulture and Fruit Growing,Level 4,AA111,185,Erode
Horticulture and Fruit Growing,Level 4,AA111,"3,981",Namakkal
Horticulture and Fruit Growing,Level 4,AA111,202,Kovai
Horticulture and Fruit Growing,Level 4,AA111,36,Gandhipuram
Horticulture and Fruit Growing,Level 4,AA111,231,Erode
Horticulture and Fruit Growing,Level 4,AA111,820,Namakkal
